RA,NOME,REGIONAl,CodRegional,Marca,CodMarca,Campus,CodCampus
13134654,Alice,Norte,1,IES AM,1,Campus AM 1,1
13134655,JÃºlia,Norte,1,IES RR,2,Campus RR 1,2
13134656,Laura,Norte,1,IES PA,3,Campus PA 1,3
13134657,Luiza,Nordeste,2,IES BA,4,Campus BA 1,4
13134658,Helena,Nordeste,2,IES RN,5,Campus RN 1,5
13134659,Maria Clara,Nordeste,2,IES SE,6,Campus SE 1,6
13134660,Mariana,Nordeste,2,IES AL,7,Campus AL 1,7
13134661,Lara,Centro-Oeste,3,IES GO,8,Campus GO 1,8
13134662,Ana Clara,Centro-Oeste,3,IES DF,9,Campus DF 1,9
13134663,Isadora,Centro-Oeste,3,IES MT,10,Campus MT 1,10
13134664,Yasmin,Sudeste,4,IES SP,11,Campus SP 1,11
13134665,Nicole,Sudeste,4,IES ES,12,Campus ES 1,12
13134666,CecÃ­lia,Sudeste,4,IES RJ,13,Campus RJ 1,13
13134667,Clara,Sudeste,4,IES MG,14,Campus MG 1,14
13134668,Marina,Sul,5,IES RS,15,Campus RS 1,15
13134669,Bianca,Sul,5,IES SC,16,Campus SC 1,16
13134670,Maria Fernanda,Sul,5,IES PR,17,Campus PR 1,17
13134671,Amanda,Norte,1,IES AM,1,Campus AM 2,18
13134672,Laura,Norte,1,IES RR,2,Campus RR 2,19
13134673,Luisa,Norte,1,IES PA,3,Campus PA 2,20
13134674,LÃ­via,Nordeste,2,IES BA,4,Campus BA 2,21
13134675,Clara,Nordeste,2,IES RN,5,Campus RN 2,22
13134676,Elisa,Nordeste,2,IES SE,6,Campus SE 2,23
13134677,Giovana,Nordeste,2,IES AL,7,Campus AL 2,24
13134678,MaitÃª,Centro-Oeste,3,IES GO,8,Campus GO 2,25
13134679,BÃ¡rbara,Centro-Oeste,3,IES DF,9,Campus DF 2,26
13134680,Larissa,Centro-Oeste,3,IES MT,10,Campus MT 2,27
13134681,Maria,Sudeste,4,IES SP,11,Campus SP 2,28
13134682,Eduarda,Sudeste,4,IES ES,12,Campus ES 2,29
13134683,OlÃ­via,Sudeste,4,IES RJ,13,Campus RJ 2,30
13134684,Agnes,Sudeste,4,IES MG,14,Campus MG 2,31
13134685,MaÃ­sa,Sul,5,IES RS,15,Campus RS 2,32
13134686,Jade,Sul,5,IES SC,16,Campus SC 2,33
13134687,Iara,Sul,5,IES PR,17,Campus PR 2,34
13134688,Analice,Norte,1,IES AM,1,Campus AM 3,35
13134689,Clarisse,Norte,1,IES RR,2,Campus RR 3,36
13134690,Isabel,Norte,1,IES PA,3,Campus PA 3,37
13134691,Lia,Nordeste,2,IES BA,4,Campus BA 3,38
13134692,Ariana,Nordeste,2,IES RN,5,Campus RN 3,39
