NumOportunidade,Nome,Documento,Data,Status,CodStatus,Produto,CodProduto,Valor,Responsavel,CodResponsavel
13134654,Alice,20806773000177,10/01/23,Continuar abertura,1,Seguro auto,1,1000,Clarissa,1
13134655,Júlia,28336823000101,10/02/23,Em negociação,2,Seguro rural,2,2000,Angelina,2
13134656,Laura,42740018000170,10/03/23,Indicação Feita,3,Prestamista PF,3,3000,Milene,3
13134657,Luiza,62431336000166,10/04/23,Continuar abertura,1,Prestamista PJ,4,4000,Natália,4
13134658,Helena,12872203000157,10/05/23,Em negociação,2,Seguro vida,5,5000,Flôr,5
13134659,Maria Clara,26204630000171,10/06/23,Indicação Feita,3,Seguro auto,1,1500,Gabriel,6
13134660,Mariana,7401222000165,10/07/23,Continuar abertura,1,Seguro rural,2,2500,Lucas,7
13134661,Lara,50536335000105,10/08/23,Em negociação,2,Prestamista PF,3,3500,Heitor,8
13134662,Ana Clara,33400457000142,10/09/23,Indicação Feita,3,Prestamista PJ,4,4500,Samuel,9
13134663,Isadora,26408044000149,10/10/23,Continuar abertura,1,Seguro vida,5,5500,Theo,10
13134664,Yasmin,57678042000101,10/11/23,Em negociação,2,Seguro auto,1,1000,Felipe,11
13134665,Nicole,81246130000100,10/12/23,Indicação Feita,3,Seguro rural,2,2000,João Pedro,12
13134666,Cecília,47701434000182,10/13/23,Continuar abertura,1,Prestamista PF,3,3000,Daniel,13
13134667,Clara,748077000144,10/14/23,Em negociação,2,Prestamista PJ,4,4000,Joaquim,14
13134668,Marina,20652347000126,10/15/23,Indicação Feita,3,Seguro vida,5,5000,Caio,15
13134669,Bianca,81375048000186,10/16/23,Continuar abertura,1,Seguro auto,1,1500,Bryan,16
13134670,Maria Fernanda,86548407000173,10/17/23,Em negociação,2,Seguro rural,2,2500,Antônio,17
13134671,Amanda,36738045000105,10/18/23,Indicação Feita,3,Prestamista PF,3,3500,João Vitor,18
13134672,Laura,52626520000108,10/19/23,Continuar abertura,1,Prestamista PJ,4,4500,Davi Lucas,19
13134673,Luisa,3047517000124,10/20/23,Em negociação,2,Seguro vida,5,5500,Thomas,20
13134674,Lívia,28328680000196,10/21/23,Indicação Feita,3,Seguro auto,1,1000,Emanuel,21
